CONTENT|SENTIMENT|RATING|DOMAIN|FONT|CREATE_AT
Chegou com apenas 2 dias . Gostei muito do atendimento online e a simpatia do entregador .|positive|5|Beleza e Perfumaria|b2w-reviews|2018-04-14 16:14:18.000000000
Também é um ótimo produto e está atendendo perfeitamente naquilo que esperávamos dele.|positive|4|Instrumentos Musicais|b2w-reviews|2018-05-10 06:00:59.000000000
Bom para tarefa básica ! Já em aplicações mais pesados deixa a desejar e memória de 8 gigas não dá pra nada ..|neutral|3|Informática|b2w-reviews|2018-03-15 11:38:32.000000000
AINDA NÃO RECEBI O PRODUTO, JÁ ESTÁ COM ATRASO DE MAIS DE 10 DIAS|negative|1|Esporte e Lazer|b2w-reviews|2018-04-11 17:29:53.000000000
O celular é muito bom, rápido não trava, câmera ótima O leitor de Impressões digitais não é tao bom, um pouco lento|positive|5|Celulares e Smartphones|b2w-reviews|2018-01-19 06:49:14.000000000
Fácil de montar, tampa bem a luz, porém vem sem buchas e patafusos e desfia um pouco ( não tem acabamento no corte do tecido). Dentro da expectativa|neutral|3|Decoração|b2w-reviews|2018-03-26 16:25:52.000000000
Bom dia! kkkkkkkkk quando recebe o produto opino. ate hj nada estava prevista a chegado para dia 12/04.|negative|1|Automotivo|b2w-reviews|2018-04-23 08:08:08.000000000
O produto excelente e com preço justo! É tudo aquilo que consta nas instruções, é mto bom!!! Top!!!|positive|5|Beleza e Perfumaria|b2w-reviews|2018-02-26 05:31:48.000000000
Amei o relógio, muito bonito e material muito bom. Fino.|positive|5|Relógios|b2w-reviews|2018-04-26 10:35:59.000000000
Ótimo celular bateria durável chegou bem antes do previsto .recomendo .|positive|5|Celulares e Smartphones|b2w-reviews|2018-05-15 16:51:28.000000000
Excelente tapete! Ficou perfeito na minha sala, pelagem bem boa!|positive|4|Cama, Mesa e Banho|b2w-reviews|2018-04-26 09:06:31.000000000
Excelente parceria com a loja Clovis ,entrega antes do prazo,produto de muita qualidade|positive|5|Moda|b2w-reviews|2018-05-23 16:20:46.000000000
O livro traz Lições simples e fáceis para aprender a língua árabe através da trtransliteração,  o cd ajuda na pronúncia. Adorei|positive|5|Livros|b2w-reviews|2018-01-14 12:19:21.000000000
"simplesmente colocam a bike  a venda,  e nao tem qualquer informaçao do produto, é necessario informaçoes tecnicas, para sabermos se o produto realmente vale a pena comprar.... fica dica  galera da americana. ""menos arrogancia mais humildade"""|negative|1|Esporte e Lazer|b2w-reviews|2018-01-20 17:57:11.000000000
Resultado imediato,na primeira lavada, cabelos soltos e sedosos, ótimo resultado.Amei.|positive|4|Beleza e Perfumaria|b2w-reviews|2018-03-13 17:53:15.000000000
Comprei o purificador de água é gostei muito do produto além de ser facil sua instalação, a única coisa que acho é a pressão da água que deveria ser maior recomendo o produto e o sit também vale a pena ótimo atendimento e entrega rapida.|positive|4|Eletroportáteis|b2w-reviews|2018-01-20 08:22:55.000000000
AINDA NÃO RECEBI ESTE PRODUTO. CONTINUO AGUARDANDO!!!|negative|2|Cama, Mesa e Banho|b2w-reviews|2018-04-24 17:16:49.000000000
https://www.youtube.com/watch?v=Y5mBp_rcdIQ  canal: king lords   unboxing e review|positive|5|Áudio|b2w-reviews|2018-02-09 14:07:38.000000000
Comprei o jogo em pre venda e n recebi ate hoje,é serio que isso e pre venda?Pre venda de que exatamente?Nunca mais efetuo uma compra se quer nesse lugar|negative|1|Games|b2w-reviews|2018-04-27 18:23:44.000000000
MUITO BOM CONFERE CERTINHO COM MINHA BALANCA DE MARCA TOLEDO,POREM NAO SERVE PARA ATENDER AO PUBLICO POR NAO TER O LACRE DO INMETRO.  MAS PARA USO PROPRIO E MUITO BOA E CHEGOU ANTES DO PREVISTO.|positive|4|Saúde|b2w-reviews|2018-01-23 05:34:32.000000000
Equipamento Excelente e com a Entrega muito Rápida.|positive|5|Informática e Acessórios|b2w-reviews|2018-02-14 12:46:52.000000000
Fácil de usar e o alcance do transmissor é excepcional.|positive|5|Informática e Acessórios|b2w-reviews|2018-04-10 11:35:23.000000000
Simplesmente fantástico. Parabéns para toda equipe como sempre a entrega super rápido|positive|5|TV e Home Theater|b2w-reviews|2018-05-04 08:30:15.000000000
Comprei pelo site o relógio e o cronógrafo não funciona, além disso a caixa não parece ser original. Já pedi pelo site da americanas.com a devolução do produto há mais de 48h, prazo determinado pela empresa, e não obtive resposta até agora.|negative|1|Relógios|b2w-reviews|2018-05-02 19:54:43.000000000
A pulseira é muito resistente, gostei bastante, o design é bastante moderno, gostei das cores e da resistência do material.  Super indico!|positive|5|Relógios|b2w-reviews|2018-01-15 05:16:36.000000000
produto de boa qualidade, substituiu a antigo perfeitamente|positive|4|Eletroportáteis|b2w-reviews|2018-01-31 07:19:29.000000000
Não vou avaliar uma coisa que não recebi. O vendedor alega que entregou mais até hoje nem o vendedor nem a Americanas me deu um parecer de nada vou desinstalar o aplicativo e não compro mais nada.|negative|1|Saúde|b2w-reviews|2018-04-02 14:19:37.000000000
produto com boa configuração e ótima bateria, câmeras muitos boas ótimo aparelho pra quem trabalha e não pode ficar recarregando muito pois a bateria dura um dia e meio tranquilo usando internet e ligações.|positive|5|Celulares e Smartphones|b2w-reviews|2018-01-03 11:47:22.000000000
O produto é muito bom. Chegou muito rápido. Eu gosto disso.|positive|5|Alimentos e Bebidas|b2w-reviews|2018-02-23 18:00:59.000000000
Ótimo custo beneficio, traz tudo que é prometido, chegou antes do prazo. Super recomendo!|positive|5|Informática e Acessórios|b2w-reviews|2018-04-24 16:00:43.000000000
Ótima qualidade de imagem, som muito bom , recursos smart bem fluidos sem travamentos , controle simples mas eficaz bom número de saídas HDMI e usb...Da pra colocar um teclado usb nela pra facilidade a digitação....E o melhor o preço condizente com o Produto!|positive|5|TV e Home Theater|b2w-reviews|2018-04-30 07:08:41.000000000
PRODUTO DE ÓTIMA QUALIDADE, ENTREGUE DENTRO DO PRAZO.|positive|4|Automotivo|b2w-reviews|2018-04-09 09:30:59.000000000
To amando. muito bom Gostei muito ele é bem prático|positive|5|Eletroportáteis|b2w-reviews|2018-04-30 09:03:55.000000000
Recebimento por mídia digital não é interessante para quem não tem um bom conhecimento da informática. Uma pessoa leiga, como eu, não consegue desfrutar do que comprou, se faz necessária a presença de alguém habilitado para executar os procedimentos. Nesse caso, melhor é receber o produto em uma mídia física (CD, DVD ou PEN DRIVE).|neutral|3|Informática e Acessórios|b2w-reviews|2018-05-31 13:34:14.000000000
Nesse kit não vem a mangueira junto, além do encaixe da mesma ser  menor que  mangueira do filtro. Por se tratar de um kit ficou a deseja. :(|negative|2|Esporte e Lazer|b2w-reviews|2018-01-10 09:14:49.000000000
Ideal para espaços menores. Bom acabamento. A montagem deve ser feita com auxílio de alguém, pois tem etapa que não se consegue fazer sozinho. Opção para montagem é ir até uma loja de móveis  e em off contratar um montador. Custo 40,00. Vale mais a pena!!!!|neutral|3|Móveis|b2w-reviews|2018-01-23 14:43:48.000000000
Produto bom, com preço atrativo e foi entregue antes do prazo.|positive|4|Esporte e Lazer|b2w-reviews|2018-01-10 10:10:20.000000000
Amei o produto, o custo beneficio e o melhor a entrega foi realizada antes do prazo.|positive|5|TV e Home Theater|b2w-reviews|2018-05-25 16:42:47.000000000
Um celular intermediário de ótima qualidade, a bateria dura o dia inteiro.|positive|4|Celulares e Smartphones|b2w-reviews|2018-03-04 16:22:59.000000000
A compra através da americanas foi completada de uma forma correta e sem problemas Parabéns|positive|4|TV e Home Theater|b2w-reviews|2018-03-23 16:58:18.000000000
Maravilhosa... estou encantada com a eficácia .... mostra a que veio e faz seu serviço perfeitamente|positive|5|Eletrodomésticos|b2w-reviews|2018-05-09 19:06:40.000000000
Ele é maravilhoso é original, entrega bem rápida e muito antenciosa ♥️♥️|positive|5|Beleza e Perfumaria|b2w-reviews|2018-05-20 08:17:27.000000000
COMPREI ESSE Oxímetro de Pulso portátil G-Tech - Modelo Oled Graph  E  ME  MANDARAM  OUTRO  NO LUGAR  ESTOU  ESPERANDO  RESPOSTA  DESSA  SITUAÇÃO QUE RESOLVAM LOGO QUERO  O  PRODUTO QUE  COMPREI  NÃO  O QUE  ME  MANDARAM|negative|1|Saúde|b2w-reviews|2018-05-03 16:13:45.000000000
Pagar R$15 de frete em um produto de preço de R$ 6? Não faz sentido. Porque oferecem isso?|negative|1|Informática e Acessórios|b2w-reviews|2018-03-02 07:32:57.000000000
O livro está desatualizado de acordo com as leis vigentes|negative|1|Livros|b2w-reviews|2018-02-28 15:17:42.000000000
Perfeito! O produto veio antes do prazo estipulado e correspondeu às minhas expectativas. Show de bola! Recomendo aos que gostam de um bom celular, que adquiram o modelo X Power da LG. Fabuloso.|positive|4|Celulares e Smartphones|b2w-reviews|2018-01-19 06:44:44.000000000
Supriu minha necessidade com qualidade. Entrega foi ágil.|positive|5|Casa e Construção|b2w-reviews|2018-02-04 07:18:54.000000000
Infelizmente não consigo avaliar porque não recebi o produto, se vcs conseguirem me dar um retorno agradeço|negative|1|Celulares e Smartphones|b2w-reviews|2018-03-05 22:38:48.000000000
Muito bom o perfume. Aroma agradável ,  Não exala rápido. Ótima qualidade. Entregue bem antes do prazo estipulado. Recomendo.|neutral|3|Beleza e Perfumaria|b2w-reviews|2018-01-14 07:30:12.000000000
Comprei essa aqui, e comprei no site oficial 360cameraespia .com, lá me deram suporte 100%, o produto é muito superior e funciona em todos os aparelhos. https://bit.ly/2Hfmgnj|neutral|3|Casa e Construção|b2w-reviews|2018-04-12 12:17:33.000000000
Efetuei a compra de duas baterias, as mesmas não vieram com o selo conforme anunciado, ambas não recarregam e uma começou a estufar. Telefone de contato da empresa não existe. E agora? Fico no prejuízo? Descaso total.|negative|1|Celulares e Smartphones|b2w-reviews|2018-03-07 07:51:20.000000000
Adorei...muito bem acabado e bonito...entrega bem rápida...|positive|5|Papelaria|b2w-reviews|2018-01-30 13:17:51.000000000
Meus sobrinhos adoraram os celulares, muito bom, excelente custo beneficio.|positive|4|Celulares e Smartphones|b2w-reviews|2018-01-22 09:31:26.000000000
notebook ficou gostei lindo marca asus.mas transporta e rapido pra minha casa!esta otimo perfeito|positive|4|Informática|b2w-reviews|2018-03-20 08:57:43.000000000
Comprei a cortina achando que viria igual a foto. grande e com todas essas partes que mostram na foto. so que nao. vem apenas duas partes em cada cortina comprada. tanto que comprei duas, achando que eram grandes, ai chegou a cortina (disseram que as duas vieram enroladas juntas) e so veio duas partes cada.  nunca mais compro e nem recomendo|neutral|3|Cama, Mesa e Banho|b2w-reviews|2018-03-05 15:04:39.000000000
Produto de excelente qualidade, e o melhor o preço tambem bem em conta|positive|5|TV e Home Theater|b2w-reviews|2018-04-05 06:12:07.000000000
Produto de  qualidade  com uma grande facilidade de montagem muito bom mesmo !|positive|5|Esporte e Lazer|b2w-reviews|2018-01-04 08:34:40.000000000
Só achei o sabor bem desagradável. Mas a entrega foi rápida.|neutral|3|Suplementos e Vitaminas|b2w-reviews|2018-03-30 16:23:43.000000000
O vendedor sequer emitiu nota depois de dias da compra e tive que cancelar compra por sugestão da própria lojas Americanas|negative|1|Eletroportáteis|b2w-reviews|2018-04-26 19:25:14.000000000
Produto Ótimo. Bateria faz o que promete, não trava e possui bom espaço de armazenamento. Porém os App comem muito espaço ainda. A Lg só precisa dar uma melhorada neste quesito. Câmera também é ótima. Gostei do ângulo ampliado da self.|positive|4|Celulares e Smartphones|b2w-reviews|2018-04-22 21:54:33.000000000
Recebi o produto sem nenhum defeito de fabricação e também de transporte, achei ótimo ter comprado pela loja Americana.|positive|5|Instrumentos Musicais|b2w-reviews|2018-03-01 17:11:36.000000000
Eu comprei esta tv pelo custo e benefício mas surpreendi pois é tudo de bom imagem intrnet muito fácil de configurar a esmart tudo funcionando eu dou 5 estrela PR a Samsung e também PR entrega das lojas Americanas chegou super rápido bom antes do prazo e já comprei vários produtos no site e o suporte e excelente sempre resolveram|positive|4|TV e Home Theater|b2w-reviews|2018-01-11 20:53:33.000000000
Fui colocar a tv na parede e o cabo esticou e despedaçou o contato!!   Tenho outros cabos aqui que parecem ser simples e nem se compara ao nível baixo como esse aqui!  O barato sai caro!|negative|1|TV e Home Theater|b2w-reviews|2018-01-10 22:43:00.000000000
Qualidade de imagem em 4k , são diferençiadas e de muita qualidade !!! Ultima geração tecnologica !!|positive|5|TV e Home Theater|b2w-reviews|2018-05-31 02:44:13.000000000
Não é um PC Gamer, mas até agora, aguentou bem tudo o que fiz... tenho que usar mais para chegar numa conclusão final|positive|5|Informática|b2w-reviews|2018-01-05 06:23:30.000000000
O produto veio com defeito portas quebradas..e apresenta modelos diferentes decepcionada....não estou conseguindo fazer a troca. Pessimo produto e o atendimento da americanas online deixou  desejar não consigo fazer a troca. Decepcionada...|negative|1|Móveis|b2w-reviews|2018-03-05 05:14:57.000000000
Como vou avaliar um produto que não recebi, tive que comprar o produto em outra loja pq vcs me prometeram uma data e não entregaram e ainda estou aguardando o estorno, se não vou procurar os meus direitos...|negative|1|Brinquedos|b2w-reviews|2018-01-05 14:58:54.000000000
O problema é só  na inicialização da TV demora para iniciar.|neutral|3|TV e Home Theater|b2w-reviews|2018-04-23 09:00:49.000000000
O produto é pequeno e serve muito bem para uma pessoa,gostei|neutral|3|Eletroportáteis|b2w-reviews|2018-03-04 15:18:29.000000000
Ótimo produto, fiel à fotografia, de ótima qualidade, superou minhas expectativas.|positive|5|Móveis|b2w-reviews|2018-01-04 15:28:49.000000000
Este produto possui um conjunto de Leds nos fones que ficam piscando sem parar e isso incomoda muito depois de alguns segundos. Para resolver este problema, eu sugiro ao fabricante a inclusão de um botão on/off para facilitar o usuário que não deseja os leds. Uma alternativa foi abrir a caixa de controle de volume e cortar o fio na placa indicado com 5V.|negative|2|Games|b2w-reviews|2018-01-24 06:43:19.000000000
recomendo para todos excelente e muito fácil de usar|positive|5|Utilidades Domésticas|b2w-reviews|2018-04-19 14:10:26.000000000
Fácil instalação, cumpre o que promete. Pacote Office e 1 tb no Onedrive são ótimos.|positive|5|Informática e Acessórios|b2w-reviews|2018-02-19 08:25:04.000000000
A entrega foi rápida , porém o produto  não é conforme  a imagem,  o refletor ilumina semelhante a uma lâmpada de led de 20 watts...|negative|1|Casa e Construção|b2w-reviews|2018-05-15 15:50:25.000000000
Mandaram o d e 8dbi mas no anúncio eu comprei o 9dbi portanto não procede o anúncio|positive|4|Informática e Acessórios|b2w-reviews|2018-04-08 19:48:25.000000000
Ótimo produto, de acordo com as suas especificações. Tamanho maior do que os notebooks convencionais, devido ao teclado numérico. Não esquenta e nem possui ruido excessivo.|positive|4|Informática|b2w-reviews|2018-04-11 21:57:50.000000000
O produto excelente, cumpre o que promete. Produto de fácil manuseio e limpeza.|positive|5|Eletroportáteis|b2w-reviews|2018-01-13 08:50:27.000000000
So não gostei do timer que fica na parte superior tomando gordura , aparentemente delicados e ruim de fazer limpeza e dos dois botoes (do lado direito) dos fornos que aparentemente não são removíveis para fazer a limpeza.|positive|4|Eletrodomésticos|b2w-reviews|2018-05-10 14:07:03.000000000
Muito prático! Excelente produto. Recomendo! Além de não usar óleo, não faz sujeira.|positive|5|Eletroportáteis|b2w-reviews|2018-04-21 08:40:07.000000000
Fixa com apenas uma passada e boa fixação. Recomendo|positive|5|Beleza e Perfumaria|b2w-reviews|2018-02-28 15:13:27.000000000
Eu só acho que a bateria do celular acaba muito rápido , e o único problema que eu achei até agora|neutral|3|Celulares e Smartphones|b2w-reviews|2018-01-08 03:16:37.000000000
produto atende a necessidade, custo benefício, entrega dentro do prazo|neutral|3|Celulares e Smartphones|b2w-reviews|2018-05-31 08:37:54.000000000
Entrega no prazo e o produto é ecelente gela perfeitamente ótimo fluxo de água adorei|positive|4|Eletroportáteis|b2w-reviews|2018-04-18 08:53:29.000000000
Perfeito, além do que esperava, além de bonito serviu bem no pé|positive|5|Vestuário Esportivo|b2w-reviews|2018-01-02 09:16:46.000000000
o adaptador é simples de usar, facil e sem complicações. Muito bom desempenho.|neutral|3|Informática e Acessórios|b2w-reviews|2018-05-14 07:26:03.000000000
Produto excelente, ótima qualidade, preço justo, entrega no prazo....|positive|5|Bebês|b2w-reviews|2018-04-20 12:19:21.000000000
A SMARTV É ÓTIMA, IMAGEM, SOM, PRÁTICA PEA LIDAR COM AS FUNÇÕES, ÓTIMO PRODUTO, E A ENTREGA COMO SEMPRE RÁPIDA.|positive|5|TV e Home Theater|b2w-reviews|2018-03-04 07:38:44.000000000
No mesmo dia que recebi o produto fui usá-lo para fatiar batatas, na 3ª batata o recipiente rachou, produto horrível e muito fraco.|negative|1|Utilidades Domésticas|b2w-reviews|2018-01-09 16:07:20.000000000
FUNCIONA BEM, SÓ FAZ POUCO CAFÉ. MAS É DE BOA QUALIDADE.|neutral|3|Eletroportáteis|b2w-reviews|2018-05-21 06:16:28.000000000
Comprei o produto pelo site, chegou no prazo, porem muito mal embalado, produtos todos estourados, vazou tudo dentro da embalagem que eles colocaram para transporte, sem condições de uso, solicitei a troca e agora terei que aguardar toda a burocracia para poder utilizar meus produtos Muito insatisfeito pelo serviço prestado.|negative|1|Suplementos e Vitaminas|b2w-reviews|2018-05-10 10:06:18.000000000
Entrega rápida.  Produto muito bonito e de excelente qualidade.|positive|5|Celulares e Smartphones|b2w-reviews|2018-03-31 06:33:23.000000000
Ainda aguardo a resposta sobre meu reembolso. Já enviei o relógio de volta há um mês. Pedi dois, e veio somente um. E veio um relógio menor do que eu queria.|negative|1|Relógios|b2w-reviews|2018-01-11 10:38:45.000000000
Péssima qualidade, montei duas vezes e ele continua todo torto, veio com algumas varias na pintura, frágil, as gavetas quando você termina de montar elas não abrem porque a qualidade das corrediças é péssima, chamei um montador e mesmo assim ficou horrível, não recomendo me arrependi muito da compra, que decepção.|negative|1|Móveis|b2w-reviews|2018-04-24 16:38:32.000000000
Não recebi o produto vendedor péssimo. Quero meu dinheiro de volta|negative|1|Celulares e Smartphones|b2w-reviews|2018-03-09 15:20:59.000000000
recebi o produto com defeito, o mesmo não ativa o Wi-Fi. Pedi devolução, estou aguardando.|negative|1|Informática|b2w-reviews|2018-05-17 10:36:34.000000000
ferramentas de otima qualidade recomendo muito,chegou antes do prazo mas demorou para ser enviado|positive|5|Ferramentas e Jardim|b2w-reviews|2018-04-22 16:16:07.000000000
Excelente produto, além de um design que ficou top em meu barzinho. Recomendo!!|positive|5|Alimentos e Bebidas|b2w-reviews|2018-03-08 12:57:36.000000000
meu módulo parou de funcionar com menos de 2 meses de uso, quero saber como faço para acionar a garantia?|negative|1|Automotivo|b2w-reviews|2018-03-05 13:44:32.000000000
Esperava mais desse liquidificador, ao bater vitamina não tritura bem os pedaços das frutas.|negative|2|Eletroportáteis|b2w-reviews|2018-02-05 12:02:34.000000000
Não posso dizer se é bom por enquanto. Minha entrega está atrasada. Tá parado na  transportadora desde o dia 10/05, sendo que o ultimo dia seria hoje. Nem a loja e nem a transportadora me respondem. Estou aguardando algum parecer sobre meu produto.|negative|2|Celulares e Smartphones|b2w-reviews|2018-05-18 19:26:54.000000000
Após um longo período para receber um produto em condições de uso, ate que enfim estou utilizando-o e até o momento ele está funcionando bem. (1 dia)|neutral|3|Utilidades Domésticas|b2w-reviews|2018-03-12 17:35:10.000000000
Gostei muito da TV, muito boa, nota 10! É um pouco difícil de comparar porque antes eu tinha uma tv de tubo, mas essa é muito boa. Entrega foi rápida. Tudo ok.|positive|5|TV e Home Theater|b2w-reviews|2018-05-04 11:52:16.000000000
"Material de qualidade. Apenas não gostei no reservatório: é um ""saco plástico' que para vedar dobra-se a borda superior que é presa por um tipo de trilho de plástico, ou seja, não há uma tampa de rosca ou encaixe. Espero que vede bem..."|neutral|3|Esporte e Lazer|b2w-reviews|2018-02-27 13:55:01.000000000
Linguagem confusa. Ainda estou lendo. decifrando...|neutral|3|Livros|b2w-reviews|2018-01-04 08:40:19.000000000
Tá demora demais para chegar, estou avaliando o produto mas o mesmo ainda não chegou.|positive|4|Informática e Acessórios|b2w-reviews|2018-04-08 16:18:53.000000000
O produto é de fato muito bom. Porém, a empresa que me vendeu, click+beleza, parceira da americanas, essa eu não indico a ninguém, não cumprem prazo, deixa o cliente no vacuo e só se manisfestam quando o cliente quer cancelar a compra. Mas a máscara da kerastase é ótima.|positive|5|Beleza e Perfumaria|b2w-reviews|2018-05-07 16:26:43.000000000
Muito bom, muito util. Para pequenas limpesas no dia a dia.|positive|4|Eletroportáteis|b2w-reviews|2018-04-01 16:41:42.000000000
Melhor do que esperava. Muito bom! Macio; ótima espessura.|positive|5|Bebês|b2w-reviews|2018-04-20 16:17:41.000000000
no anuncio tem 2 imagens um fogao diferente do outro, qual esta é o do anúncio???|negative|1|Eletrodomésticos|b2w-reviews|2018-04-20 20:39:48.000000000
PRODUTO MT BOM. BOA QUALIDADE , FUNCIONAL E PRATICO.|positive|5|Automotivo|b2w-reviews|2018-05-09 21:30:30.000000000
Amei demais a tv superou minha expectativa .indico para qualquer pessoa que deseja adquirir uma smarttv|positive|5|TV e Home Theater|b2w-reviews|2018-05-16 15:14:46.000000000
Super pratico, adorei e o frete dentro do prazo!!!|positive|4|Utilidades Domésticas|b2w-reviews|2018-01-26 08:24:15.000000000
Minha máquina veio faltando um pé e não sei o que faço não encontrei na pagina da americanas onde reclamar|negative|2|Eletrodomésticos|b2w-reviews|2018-05-27 12:27:58.000000000
Muito bom gostei, bateria dura vem o preço é bom recomendado|positive|5|Games|b2w-reviews|2018-03-03 16:12:31.000000000
Simplesmente perfeito........... Foi entregue bem antes  do Tempo|positive|5|Informática e Acessórios|b2w-reviews|2018-04-11 10:18:01.000000000
A câmera é muito boa, fotos nítidas. Achei inconveniente a pinça que deve ser usada para abrir o compartimento onde é inserido o chip  Foram isso, o aparelho é bom.|neutral|3|Celulares e Smartphones|b2w-reviews|2018-02-24 07:34:31.000000000
Só é uma TV comum. Não cumpre a função de smart. Perde sinal toda hora. Tem que ficar reconectando a todo momento. Em 3 meses já tem 2 upgrafes e mesmo assim não finciona a smart|negative|1|TV e Home Theater|b2w-reviews|2018-03-20 15:34:03.000000000
Compramos para o nosso filho de 4 anos, já tínhamos visto em lojas físicas, mas achamos o preço bem melhor nas Americanas! O carrinho corre muito ( tem duas marchas) e é muito  grande  e lindo!!! Só poderia a marcha ser mais alta  e acendesse os faróis!!! Aí seria top!!! Mas mesmo assim nosso filho amou e todos os dias anda nele!!! Chegou bem rápido  e tudo certinho!!! Recomendaria  sim a compra!!!!|positive|4|Brinquedos|b2w-reviews|2018-04-11 06:11:20.000000000
